InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Stock,Revenue,NetProfit,TotalSales,NetSales,DiscountAmount,TotalPrice,Year,Month,CustomerSegment,Margin,DaysSince,LossFlag
100415,SKU_1912,T-shirt,1,2022-10-17 13:00:00,22.7,47573.0,United Kingdom,0.09,Credit Card,26.13,Apparel,In-store,Not Returned,UPS,Amsterdam,Medium,1912,20.7,-5.5,22.7,20.7,2.0,46.8,2022,Oct,Bronze,-26.5,1166,YES
100434,SKU_1100,Wireless Mouse,34,2024-07-29 03:00:00,74.21,60774.0,France,0.34,Bank Transfer,26.81,Electronics,In-store,Not Returned,UPS,Berlin,Medium,1100,1665.3,1638.5,2523.1,1665.3,857.9,1692.1,2024,Jul,Platinum,98.4,515,NO
100443,SKU_1328,Wall Clock,45,2025-07-02 04:00:00,51.82,67793.0,France,0.38,Credit Card,20.71,Home Decor,Online,Not Returned,UPS,Paris,High,1328,1445.8,1425.1,2331.9,1445.8,886.1,1466.5,2025,Jul,Platinum,98.6,177,NO
100503,SKU_1224,Headphones,38,2024-12-28 08:00:00,63.58,,Spain,0.48,Paypall,28.84,Electronics,In-store,Not Returned,UPS,,Low,1224,1256.3,1227.5,2416.0,1256.3,1159.7,1285.2,2024,Dec,Platinum,97.7,363,NO
100515,SKU_1704,T-shirt,44,2020-11-21 15:00:00,64.06,12440.0,Norway,0.01,Paypall,21.99,Apparel,Online,Not Returned,FedEx,Berlin,Medium,1704,2790.5,2768.5,2818.6,2790.5,28.2,2812.4,2020,Nov,Platinum,99.2,1861,NO
100537,SKU_1438,Blue Pen,18,2024-05-07 20:00:00,99.69,48614.0,Germany,0.37,Paypall,18.37,Stationery,Online,Not Returned,Royal Mail,Rome,Low,1438,1130.5,1112.1,1794.4,1130.5,663.9,1148.9,2024,May,Gold,98.4,598,NO
100559,SKU_1113,T-shirt,49,2021-06-04 21:00:00,94.54,42272.0,United Kingdom,0.11,Credit Card,17.4,Apparel,In-store,Not Returned,UPS,Berlin,Low,1113,4122.9,4105.5,4632.5,4122.9,509.6,4140.3,2021,Jun,Platinum,99.6,1665,NO
100570,SKU_1474,Wall Clock,42,2024-06-18 13:00:00,35.12,23834.0,Belgium,0.44,Credit Card,16.52,Home Decor,Online,Not Returned,UPS,Berlin,Medium,1474,826.0,809.5,1475.0,826.0,649.0,842.5,2024,Jun,Gold,98.0,556,NO
100599,SKU_1959,Office Chair,10,2023-08-23 01:00:00,16.8,55820.0,United Kingdom,0.45,Paypall,29.4,Furniture,Online,Not Returned,UPS,London,Low,1959,92.4,63.0,168.0,92.4,75.6,121.8,2023,Aug,Bronze,68.2,856,NO
100607,SKU_1909,Backpack,27,2024-07-03 11:00:00,87.13,98293.0,Belgium,0.38,Bank Transfer,21.02,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low,1909,1458.6,1437.5,2352.5,1458.6,894.0,1479.6,2024,Jul,Platinum,98.6,541,NO
100615,SKU_1871,USB Cable,11,2022-07-05 03:00:00,14.81,78437.0,United Kingdom,0.32,Credit Card,12.66,Electronics,In-store,Not Returned,Royal Mail,Rome,High,1871,110.8,98.1,162.9,110.8,52.1,123.4,2022,Jul,Bronze,88.6,1270,NO
100617,SKU_1429,Wireless Mouse,42,2024-04-21 18:00:00,10.86,88215.0,Australia,0.42,Bank Transfer,21.75,Electronics,In-store,Not Returned,FedEx,Amsterdam,High,1429,264.5,242.8,456.1,264.5,191.6,286.3,2024,Apr,Silver,91.8,614,NO
100637,SKU_1166,Desk Lamp,30,2023-02-08 03:00:00,25.87,61285.0,France,0.42,Credit Card,8.56,Furniture,In-store,Not Returned,FedEx,Amsterdam,High,1166,450.1,441.6,776.1,450.1,326.0,458.7,2023,Feb,Silver,98.1,1052,NO
100638,SKU_1669,Backpack,33,2023-02-03 01:00:00,79.38,34084.0,Australia,0.0,Credit Card,19.69,Accessories,In-store,Returned,FedEx,Amsterdam,Medium,1669,2619.5,2599.8,2619.5,2619.5,0.0,2639.2,2023,Feb,Platinum,99.2,1057,NO
100654,SKU_1420,Office Chair,40,2021-01-04 12:00:00,78.1,43575.0,United Kingdom,0.22,Credit Card,6.55,Furniture,In-store,Not Returned,UPS,London,Medium,1420,2436.7,2430.2,3124.0,2436.7,687.3,2443.3,2021,Jan,Platinum,99.7,1817,NO
100727,SKU_1334,Wall Clock,11,2021-03-07 12:00:00,91.01,91019.0,Italy,0.35,Bank Transfer,25.22,Home Decor,In-store,Not Returned,Royal Mail,Berlin,High,1334,650.7,625.5,1001.1,650.7,350.4,675.9,2021,Mar,Silver,96.1,1755,NO
100799,SKU_1336,Desk Lamp,33,2021-07-16 22:00:00,55.24,40141.0,Netherlands,0.18,Paypall,16.43,Furniture,Online,Not Returned,UPS,Rome,Low,1336,1494.8,1478.4,1822.9,1494.8,328.1,1511.2,2021,Jul,Gold,98.9,1623,NO
100801,SKU_1306,Office Chair,46,2021-05-03 18:00:00,25.35,53963.0,Belgium,0.31,Bank Transfer,22.33,Furniture,Online,Not Returned,DHL,London,High,1306,804.6,782.3,1166.1,804.6,361.5,826.9,2021,May,Gold,97.2,1698,NO
100814,SKU_1288,Wall Clock,16,2023-01-11 17:00:00,33.21,96572.0,Portugal,0.46,Bank Transfer,19.19,Home Decor,In-store,Returned,FedEx,Paris,High,1288,286.9,267.7,531.4,286.9,244.4,306.1,2023,Jan,Silver,93.3,1080,NO
100819,SKU_1209,Blue Pen,43,2025-02-04 18:00:00,8.77,98499.0,United States,0.07,Paypall,7.89,Stationery,Online,Not Returned,Royal Mail,Paris,Medium,1209,350.7,342.8,377.1,350.7,26.4,358.6,2025,Feb,Silver,97.8,325,NO
100825,SKU_1051,Wireless Mouse,8,2025-02-06 07:00:00,86.96,,United Kingdom,0.48,Paypall,13.76,Electronics,Online,Not Returned,FedEx,Paris,Medium,1051,361.8,348.0,695.7,361.8,333.9,375.5,2025,Feb,Silver,96.2,323,NO
100837,SKU_1868,Headphones,25,2024-09-22 17:00:00,25.96,54558.0,Germany,0.09,Credit Card,29.54,Electronics,Online,Returned,UPS,Berlin,Medium,1868,590.6,561.1,649.0,590.6,58.4,620.1,2024,Sep,Silver,95.0,460,NO
100882,SKU_1799,Blue Pen,33,2020-12-26 19:00:00,30.68,31728.0,United States,0.33,Paypall,20.92,Stationery,Online,Not Returned,Royal Mail,Rome,High,1799,678.3,657.4,1012.4,678.3,334.1,699.3,2020,Dec,Silver,96.9,1826,NO
100901,SKU_1113,T-shirt,12,2020-11-18 18:00:00,1.08,91928.0,Netherlands,0.31,Bank Transfer,15.69,Apparel,Online,Not Returned,FedEx,London,Medium,1113,8.9,-6.7,13.0,8.9,4.0,24.6,2020,Nov,Bronze,-75.5,1864,YES
100903,SKU_1418,Desk Lamp,5,2022-03-11 21:00:00,35.67,,France,0.26,Credit Card,21.28,Furniture,Online,Returned,UPS,Paris,Medium,1418,132.0,110.7,178.4,132.0,46.4,153.3,2022,Mar,Bronze,83.9,1385,NO
100917,SKU_1944,Backpack,36,2020-09-04 04:00:00,90.3,97311.0,United States,0.11,Credit Card,6.42,Accessories,In-store,Not Returned,UPS,London,Medium,1944,2893.2,2886.8,3250.8,2893.2,357.6,2899.6,2020,Sep,Platinum,99.8,1939,NO
100944,SKU_1639,Wireless Mouse,7,2021-11-01 07:00:00,90.27,57199.0,Sweden,0.43,Credit Card,21.38,Electronics,In-store,Not Returned,UPS,Amsterdam,Low,1639,360.2,338.8,631.9,360.2,271.7,381.6,2021,Nov,Silver,94.1,1516,NO
100969,SKU_1622,T-shirt,7,2023-06-16 00:00:00,58.87,,Germany,0.44,Credit Card,11.27,Apparel,Online,Not Returned,DHL,,High,1622,230.8,219.5,412.1,230.8,181.3,242.0,2023,Jun,Silver,95.1,924,NO
101006,SKU_1559,Blue Pen,1,2025-08-11 21:00:00,31.75,23918.0,Netherlands,0.03,Bank Transfer,24.01,Stationery,Online,Not Returned,UPS,Paris,Low,1559,30.8,6.8,31.8,30.8,1.0,54.8,2025,Aug,Bronze,22.0,136,NO
101010,SKU_1826,Headphones,32,2022-05-08 19:00:00,30.39,28277.0,Netherlands,0.37,Bank Transfer,29.89,Electronics,In-store,Not Returned,UPS,Paris,Medium,1826,612.7,582.8,972.5,612.7,359.8,642.6,2022,May,Silver,95.1,1328,NO
101049,SKU_1300,Blue Pen,29,2021-10-10 12:00:00,91.37,11207.0,Sweden,0.43,Bank Transfer,23.06,Stationery,Online,Not Returned,UPS,Rome,High,1300,1510.3,1487.3,2649.7,1510.3,1139.4,1533.4,2021,Oct,Platinum,98.5,1538,NO
101051,SKU_1948,Notebook,13,2020-09-22 00:00:00,98.08,78297.0,Belgium,0.25,Credit Card,5.48,Stationery,In-store,Not Returned,UPS,Rome,Medium,1948,956.3,950.8,1275.0,956.3,318.8,961.8,2020,Sep,Gold,99.4,1921,NO
101063,SKU_1304,Notebook,2,2024-05-26 09:00:00,51.78,83677.0,Belgium,0.07,Paypall,10.94,Stationery,In-store,Not Returned,Royal Mail,Rome,Medium,1304,96.3,85.4,103.6,96.3,7.2,107.3,2024,May,Bronze,88.6,579,NO
101067,SKU_1271,Headphones,8,2024-06-05 11:00:00,20.32,98610.0,France,0.04,Paypall,25.34,Electronics,Online,Not Returned,Royal Mail,Berlin,High,1271,156.1,130.7,162.6,156.1,6.5,181.4,2024,Jun,Bronze,83.8,569,NO
101076,SKU_1904,Backpack,40,2023-10-24 23:00:00,71.88,40962.0,Italy,0.29,Credit Card,21.78,Accessories,Online,Not Returned,UPS,London,Low,1904,2041.4,2019.6,2875.2,2041.4,833.8,2063.2,2023,Oct,Platinum,98.9,793,NO
101082,SKU_1031,Notebook,23,2022-02-03 17:00:00,39.3,83462.0,Australia,0.34,Bank Transfer,18.34,Stationery,In-store,Not Returned,FedEx,Paris,High,1031,596.6,578.2,903.9,596.6,307.3,614.9,2022,Feb,Silver,96.9,1422,NO
101083,SKU_1028,Wall Clock,36,2023-06-10 21:00:00,77.86,67186.0,Belgium,0.11,Credit Card,5.39,Home Decor,Online,Not Returned,DHL,Berlin,Low,1028,2494.6,2489.2,2803.0,2494.6,308.3,2500.0,2023,Jun,Platinum,99.8,929,NO
101085,SKU_1170,Wall Clock,34,2022-11-18 08:00:00,49.13,36887.0,Netherlands,0.32,Credit Card,28.13,Home Decor,Online,Not Returned,DHL,Amsterdam,Medium,1170,1135.9,1107.8,1670.4,1135.9,534.5,1164.0,2022,Nov,Gold,97.5,1134,NO
101095,SKU_1186,Notebook,34,2021-07-07 20:00:00,39.42,66347.0,United States,0.08,Bank Transfer,29.67,Stationery,In-store,Not Returned,UPS,Amsterdam,High,1186,1233.1,1203.4,1340.3,1233.1,107.2,1262.7,2021,Jul,Gold,97.6,1633,NO
101132,SKU_1789,Blue Pen,15,2021-02-14 20:00:00,70.54,53722.0,France,0.26,Paypall,19.2,Stationery,In-store,Not Returned,DHL,Berlin,Medium,1789,783.0,763.8,1058.1,783.0,275.1,802.2,2021,Feb,Gold,97.5,1776,NO
101147,SKU_1292,Backpack,31,2024-11-22 07:00:00,41.59,66117.0,Belgium,0.01,Bank Transfer,23.67,Accessories,Online,Not Returned,Royal Mail,Paris,Medium,1292,1276.4,1252.7,1289.3,1276.4,12.9,1300.1,2024,Nov,Gold,98.1,399,NO
101177,SKU_1571,T-shirt,29,2024-01-10 05:00:00,2.53,50317.0,United Kingdom,0.11,Bank Transfer,27.35,Apparel,Online,Not Returned,FedEx,Amsterdam,Low,1571,65.3,37.9,73.4,65.3,8.1,92.6,2024,Jan,Bronze,58.1,716,NO
101207,SKU_1421,Blue Pen,33,2023-11-04 18:00:00,41.6,55291.0,Spain,0.1,Bank Transfer,26.03,Stationery,Online,Not Returned,FedEx,London,Low,1421,1235.5,1209.5,1372.8,1235.5,137.3,1261.6,2023,Nov,Gold,97.9,783,NO
101223,SKU_1265,Wireless Mouse,23,2022-06-30 11:00:00,91.09,44311.0,Spain,0.03,Paypall,9.25,Electronics,Online,Not Returned,DHL,Berlin,Low,1265,2032.2,2023.0,2095.1,2032.2,62.9,2041.5,2022,Jun,Platinum,99.5,1275,NO
101229,SKU_1089,Blue Pen,32,2024-08-07 15:00:00,36.25,29069.0,Australia,0.21,Paypall,8.25,Stationery,Online,Not Returned,DHL,Berlin,Medium,1089,916.4,908.2,1160.0,916.4,243.6,924.6,2024,Aug,Gold,99.1,506,NO
101252,SKU_1486,Wireless Mouse,45,2020-02-10 12:00:00,45.16,94427.0,Netherlands,0.36,Paypall,6.78,Electronics,In-store,Not Returned,UPS,London,Medium,1486,1300.6,1293.8,2032.2,1300.6,731.6,1307.4,2020,Feb,Platinum,99.5,2146,NO
101304,SKU_1399,Wall Clock,34,2023-01-24 23:00:00,65.12,43583.0,Portugal,0.34,Bank Transfer,12.91,Home Decor,Online,Not Returned,DHL,Rome,High,1399,1461.3,1448.4,2214.1,1461.3,752.8,1474.2,2023,Jan,Platinum,99.1,1066,NO
101316,SKU_1216,Notebook,23,2022-09-06 19:00:00,74.76,78945.0,Netherlands,0.07,Paypall,20.31,Stationery,Online,Not Returned,UPS,London,Medium,1216,1599.1,1578.8,1719.5,1599.1,120.4,1619.4,2022,Sep,Gold,98.7,1207,NO
101355,SKU_1672,Wireless Mouse,18,2023-06-15 08:00:00,62.93,44132.0,Italy,0.15,Bank Transfer,17.85,Electronics,Online,Returned,FedEx,Amsterdam,Low,1672,962.8,945.0,1132.7,962.8,169.9,980.7,2023,Jun,Gold,98.1,925,NO
101363,SKU_1741,Notebook,22,2024-08-07 21:00:00,40.73,54213.0,United States,0.5,Credit Card,17.52,Stationery,Online,Not Returned,DHL,Amsterdam,Medium,1741,448.0,430.5,896.1,448.0,448.0,465.6,2024,Aug,Silver,96.1,505,NO
101378,SKU_1458,Backpack,24,2023-06-19 06:00:00,76.04,46200.0,Norway,0.33,Paypall,6.02,Accessories,In-store,Not Returned,DHL,Rome,Medium,1458,1222.7,1216.7,1825.0,1222.7,602.2,1228.7,2023,Jun,Gold,99.5,921,NO
101379,SKU_1560,Desk Lamp,46,2021-11-16 08:00:00,49.59,14070.0,France,0.29,Credit Card,13.65,Furniture,In-store,Not Returned,UPS,London,Low,1560,1619.6,1606.0,2281.1,1619.6,661.5,1633.3,2021,Nov,Platinum,99.2,1501,NO
101425,SKU_1773,White Mug,30,2024-10-07 10:00:00,93.68,25314.0,Sweden,0.04,Paypall,16.76,Home & Kitchen,Online,Not Returned,FedEx,Amsterdam,Low,1773,2698.0,2681.2,2810.4,2698.0,112.4,2714.7,2024,Oct,Platinum,99.4,445,NO
101468,SKU_1311,USB Cable,31,2021-02-20 23:00:00,37.01,28181.0,United States,0.03,Credit Card,26.41,Electronics,Online,Not Returned,Royal Mail,London,Low,1311,1112.9,1086.5,1147.3,1112.9,34.4,1139.3,2021,Feb,Gold,97.6,1769,NO
101495,SKU_1345,Blue Pen,42,2025-01-17 21:00:00,94.57,74739.0,Spain,0.49,Bank Transfer,12.67,Stationery,In-store,Not Returned,UPS,Berlin,High,1345,2025.7,2013.0,3971.9,2025.7,1946.3,2038.4,2025,Jan,Platinum,99.4,342,NO
101515,SKU_1495,Office Chair,17,2020-11-25 19:00:00,71.36,32353.0,Australia,0.13,Credit Card,5.32,Furniture,Online,Returned,UPS,Paris,High,1495,1055.4,1050.1,1213.1,1055.4,157.7,1060.7,2020,Nov,Gold,99.5,1857,NO
101532,SKU_1997,USB Cable,24,2022-03-10 12:00:00,85.48,93241.0,Portugal,0.29,Bank Transfer,22.3,Electronics,Online,Not Returned,DHL,London,High,1997,1456.6,1434.3,2051.5,1456.6,594.9,1478.9,2022,Mar,Platinum,98.5,1387,NO
101539,SKU_1214,Wall Clock,19,2020-11-02 08:00:00,39.04,98580.0,United Kingdom,0.17,Credit Card,25.94,Home Decor,In-store,Not Returned,FedEx,Amsterdam,Medium,1214,615.7,589.7,741.8,615.7,126.1,641.6,2020,Nov,Silver,95.8,1880,NO
101577,SKU_1273,T-shirt,14,2020-11-26 16:00:00,5.17,85115.0,Germany,0.1,Credit Card,7.38,Apparel,Online,Not Returned,UPS,London,High,1273,65.1,57.8,72.4,65.1,7.2,72.5,2020,Nov,Bronze,88.7,1856,NO
101585,SKU_1514,T-shirt,12,2024-08-30 17:00:00,96.94,27887.0,Belgium,0.02,Bank Transfer,12.86,Apparel,In-store,Not Returned,FedEx,Amsterdam,Medium,1514,1140.0,1127.2,1163.3,1140.0,23.3,1152.9,2024,Aug,Gold,98.9,483,NO
101593,SKU_1519,White Mug,3,2024-12-23 11:00:00,39.15,40631.0,United States,0.27,Paypall,24.69,Home & Kitchen,In-store,Not Returned,Royal Mail,Rome,High,1519,85.7,61.0,117.4,85.7,31.7,110.4,2024,Dec,Bronze,71.2,368,NO
101607,SKU_1451,Blue Pen,10,2022-05-16 12:00:00,74.54,44519.0,Italy,0.48,Bank Transfer,21.14,Stationery,In-store,Not Returned,DHL,Paris,Medium,1451,387.6,366.5,745.4,387.6,357.8,408.7,2022,May,Silver,94.5,1320,NO
101620,SKU_1257,Desk Lamp,8,2021-02-15 21:00:00,79.2,47431.0,Italy,0.42,Bank Transfer,21.39,Furniture,In-store,Not Returned,DHL,Amsterdam,High,1257,367.5,346.1,633.6,367.5,266.1,388.9,2021,Feb,Silver,94.2,1774,NO
101634,SKU_1743,Office Chair,44,2023-08-24 09:00:00,80.83,96937.0,Australia,0.05,Credit Card,19.61,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High,1743,3378.7,3359.1,3556.5,3378.7,177.8,3398.3,2023,Aug,Platinum,99.4,855,NO
101650,SKU_1470,Desk Lamp,46,2024-11-24 06:00:00,52.17,90592.0,Netherlands,0.1,Paypall,25.73,Furniture,In-store,Not Returned,DHL,Paris,High,1470,2159.8,2134.1,2399.8,2159.8,240.0,2185.6,2024,Nov,Platinum,98.8,397,NO
101658,SKU_1472,Notebook,12,2022-07-23 03:00:00,91.95,66392.0,Germany,0.35,Credit Card,21.53,Stationery,Online,Not Returned,DHL,Berlin,High,1472,717.2,695.7,1103.4,717.2,386.2,738.7,2022,Jul,Gold,97.0,1252,NO
101676,SKU_1420,Backpack,40,2024-06-04 23:00:00,41.47,65328.0,United Kingdom,0.41,Bank Transfer,11.19,Accessories,In-store,Returned,UPS,Berlin,High,1420,978.7,967.5,1658.8,978.7,680.1,989.9,2024,Jun,Gold,98.9,569,NO
101722,SKU_1619,Notebook,34,2023-12-17 17:00:00,59.81,15539.0,United Kingdom,0.39,Bank Transfer,17.84,Stationery,In-store,Not Returned,UPS,Rome,Low,1619,1240.5,1222.6,2033.5,1240.5,793.1,1258.3,2023,Dec,Platinum,98.6,740,NO
101745,SKU_1847,White Mug,22,2023-02-15 22:00:00,84.63,21215.0,Portugal,0.41,Paypall,16.93,Home & Kitchen,Online,Not Returned,UPS,Rome,Medium,1847,1098.5,1081.6,1861.9,1098.5,763.4,1115.4,2023,Feb,Gold,98.5,1044,NO
101755,SKU_1769,Wall Clock,46,2024-05-25 05:00:00,65.17,17689.0,Germany,0.08,Bank Transfer,13.74,Home Decor,Online,Not Returned,DHL,Berlin,Low,1769,2758.0,2744.3,2997.8,2758.0,239.8,2771.7,2024,May,Platinum,99.5,580,NO
101825,SKU_1853,Wall Clock,7,2023-04-29 11:00:00,88.66,52074.0,Belgium,0.18,Credit Card,21.18,Home Decor,In-store,Not Returned,UPS,Rome,High,1853,508.9,487.7,620.6,508.9,111.7,530.1,2023,Apr,Silver,95.8,972,NO
101832,SKU_1059,USB Cable,22,2021-10-22 19:00:00,68.52,96868.0,Germany,0.48,Credit Card,14.06,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low,1059,783.9,769.8,1507.4,783.9,723.6,797.9,2021,Oct,Gold,98.2,1526,NO
101845,SKU_1398,Wireless Mouse,41,2022-01-29 14:00:00,10.54,20319.0,United States,0.11,Bank Transfer,12.49,Electronics,Online,Not Returned,FedEx,Paris,Medium,1398,384.6,372.1,432.1,384.6,47.5,397.1,2022,Jan,Silver,96.8,1427,NO
101881,SKU_1381,White Mug,22,2020-10-10 22:00:00,86.24,95653.0,Germany,0.11,Bank Transfer,15.35,Home & Kitchen,Online,Not Returned,Royal Mail,Paris,Medium,1381,1688.6,1673.2,1897.3,1688.6,208.7,1703.9,2020,Oct,Gold,99.1,1902,NO
101903,SKU_1222,T-shirt,37,2024-03-29 22:00:00,44.66,88118.0,Australia,0.24,Bank Transfer,13.22,Apparel,In-store,Not Returned,FedEx,Amsterdam,High,1222,1255.8,1242.6,1652.4,1255.8,396.6,1269.1,2024,Mar,Gold,98.9,636,NO
101906,SKU_1408,Headphones,14,2021-03-02 09:00:00,13.69,43162.0,Norway,0.43,Bank Transfer,14.43,Electronics,Online,Not Returned,DHL,London,Low,1408,109.2,94.8,191.7,109.2,82.4,123.7,2021,Mar,Bronze,86.8,1760,NO
101917,SKU_1859,White Mug,4,2020-02-20 08:00:00,5.45,51654.0,Sweden,0.37,Credit Card,23.61,Home & Kitchen,In-store,Not Returned,UPS,Paris,Low,1859,13.7,-9.9,21.8,13.7,8.1,37.3,2020,Feb,Bronze,-71.9,2136,YES
101919,SKU_1971,Headphones,29,2021-09-25 20:00:00,81.74,93557.0,Belgium,0.11,Paypall,23.67,Electronics,In-store,Not Returned,DHL,London,High,1971,2109.7,2086.0,2370.5,2109.7,260.8,2133.4,2021,Sep,Platinum,98.9,1553,NO
