InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
101304,SKU_1399,Wall Clock,34,24-01-2023 23:00,65.12,43583,Portugal,0.34,Bank Transfer,12.91,Electronics,Online,Not Returned,DHL,Rome,High
101316,SKU_1216,Notebook,23,06-09-2022 19:00,74.76,78945,Netherlands,0.07,paypall,20.31,Electronics,Online,Not Returned,UPS,London,Medium
101316,SKU_1988,Blue Pen,-6,23-07-2023 09:00,-24.19,,Portugal,1.520913396,paypall,,Electronics,Online,Not Returned,UPS,,Low
101355,SKU_1672,Wireless Mouse,18,15-06-2023 08:00,62.93,44132,Italy,0.15,Bank Transfer,17.85,Furniture,Online,Returned,FedEx,Amsterdam,Low
101363,SKU_1741,Notebook,22,07-08-2024 21:00,40.73,54213,United States,0.5,Credit Card,17.52,Furniture,Online,Not Returned,DHL,Amsterdam,Medium
101378,SKU_1458,Backpack,24,19-06-2023 06:00,76.04,46200,Norway,0.33,paypall,6.02,Furniture,In-store,Not Returned,DHL,Rome,Medium
101379,SKU_1560,Desk Lamp,46,16-11-2021 08:00,49.59,14070,France,0.29,Credit Card,13.65,Apparel,In-store,Not Returned,UPS,London,Low
101425,SKU_1773,White Mug,30,07-10-2024 10:00,93.68,25314,Sweden,0.04,paypall,16.76,Electronics,Online,Not Returned,FedEx,Amsterdam,Low
101468,SKU_1311,USB Cable,31,20-02-2021 23:00,37.01,28181,United States,0.03,Credit Card,26.41,Furniture,Online,Not Returned,Royal Mail,London,Low
101495,SKU_1345,Blue Pen,42,17-01-2025 21:00,94.57,74739,Spain,0.49,Bank Transfer,12.67,Furniture,In-store,Not Returned,UPS,Berlin,High
101515,SKU_1495,Office Chair,17,25-11-2020 19:00,71.36,32353,Australia,0.13,Credit Card,5.32,Accessories,Online,Returned,UPS,Paris,High
101532,SKU_1997,USB Cable,24,10-03-2022 12:00,85.48,93241,Portugal,0.29,Bank Transfer,22.3,Stationery,Online,Not Returned,DHL,London,High
101539,SKU_1214,Wall Clock,19,02-11-2020 08:00,39.04,98580,United Kingdom,0.17,Credit Card,25.94,Accessories,In-store,Not Returned,FedEx,Amsterdam,Medium
101577,SKU_1273,T-shirt,14,26-11-2020 16:00,5.17,85115,Germany,0.1,Credit Card,7.38,Stationery,Online,Not Returned,UPS,London,High
101585,SKU_1514,T-shirt,12,30-08-2024 17:00,96.94,27887,Belgium,0.02,Bank Transfer,12.86,Furniture,In-store,Not Returned,FedEx,Amsterdam,Medium
101593,SKU_1519,White Mug,3,23-12-2024 11:00,39.15,40631,United States,0.27,paypall,24.69,Electronics,In-store,Not Returned,Royal Mail,Rome,High
101607,SKU_1451,Blue Pen,10,16-05-2022 12:00,74.54,44519,Italy,0.48,Bank Transfer,21.14,Apparel,In-store,Not Returned,DHL,Paris,Medium
101620,SKU_1257,Desk Lamp,8,15-02-2021 21:00,79.2,47431,Italy,0.42,Bank Transfer,21.39,Apparel,In-store,Not Returned,DHL,Amsterdam,High
101634,SKU_1743,Office Chair,44,24-08-2023 09:00,80.83,96937,Australia,0.05,Credit Card,19.61,Accessories,Online,Not Returned,Royal Mail,Amsterdam,High
101650,SKU_1470,Desk Lamp,46,24-11-2024 06:00,52.17,90592,Netherlands,0.1,paypall,25.73,Accessories,In-store,Not Returned,DHL,Paris,High
101658,SKU_1472,Notebook,12,23-07-2022 03:00,91.95,66392,Germany,0.35,Credit Card,21.53,Apparel,Online,Not Returned,DHL,Berlin,High
101676,SKU_1420,Backpack,40,04-06-2024 23:00,41.47,65328,United Kingdom,0.41,Bank Transfer,11.19,Stationery,In-store,Returned,UPS,Berlin,High
101722,SKU_1619,Notebook,34,17-12-2023 17:00,59.81,15539,United Kingdom,0.39,Bank Transfer,17.84,Stationery,In-store,Not Returned,UPS,Rome,Low
101745,SKU_1847,White Mug,22,15-02-2023 22:00,84.63,21215,Portugal,0.41,paypall,16.93,Apparel,Online,Not Returned,UPS,Rome,Medium
101755,SKU_1769,Wall Clock,46,25-05-2024 05:00,65.17,17689,Germany,0.08,Bank Transfer,13.74,Furniture,Online,Not Returned,DHL,Berlin,Low
101825,SKU_1853,Wall Clock,7,29-04-2023 11:00,88.66,52074,Belgium,0.18,Credit Card,21.18,Accessories,In-store,Not Returned,UPS,Rome,High
101832,SKU_1059,USB Cable,22,22-10-2021 19:00,68.52,96868,Germany,0.48,Credit Card,14.06,Stationery,In-store,Not Returned,FedEx,Amsterdam,Low
101845,SKU_1398,Wireless Mouse,41,29-01-2022 14:00,10.54,20319,United States,0.11,Bank Transfer,12.49,Furniture,Online,Not Returned,FedEx,Paris,Medium
101881,SKU_1381,White Mug,22,10-10-2020 22:00,86.24,95653,Germany,0.11,Bank Transfer,15.35,Furniture,Online,Not Returned,Royal Mail,Paris,Medium
101903,SKU_1222,T-shirt,37,29-03-2024 22:00,44.66,88118,Australia,0.24,Bank Transfer,13.22,Electronics,In-store,Not Returned,FedEx,Amsterdam,High
101906,SKU_1408,Headphones,14,02-03-2021 09:00,13.69,43162,Norway,0.43,Bank Transfer,14.43,Apparel,Online,Not Returned,DHL,London,Low
101917,SKU_1859,White Mug,4,20-02-2020 08:00,5.45,51654,Sweden,0.37,Credit Card,23.61,Electronics,In-store,Not Returned,UPS,Paris,Low
101919,SKU_1971,Headphones,29,25-09-2021 20:00,81.74,93557,Belgium,0.11,paypall,23.67,Electronics,In-store,Not Returned,DHL,London,High
101980,SKU_1258,Backpack,25,08-05-2024 00:00,86.95,94639,United Kingdom,0.29,Credit Card,13.81,Stationery,Online,Returned,DHL,Amsterdam,High
102016,SKU_1407,T-shirt,19,09-11-2021 14:00,19.97,70374,Belgium,0.3,Credit Card,24.83,Electronics,Online,Not Returned,UPS,Amsterdam,Low
102019,SKU_1866,Headphones,27,26-10-2021 00:00,71.6,,United Kingdom,0.29,paypall,16.83,Apparel,Online,Not Returned,DHL,Rome,Low
102024,SKU_1512,Headphones,-37,24-01-2022 11:00,80.01,,United States,0.04,Bank Transfer,,Stationery,Online,Not Returned,Royal Mail,,Medium
102075,SKU_1953,White Mug,34,12-01-2025 01:00,55.73,28811,Sweden,0.17,Credit Card,6.48,Stationery,Online,Not Returned,UPS,Rome,High
102078,SKU_1051,Wall Clock,23,30-09-2024 12:00,85.53,89752,United Kingdom,0.35,Bank Transfer,21.71,Electronics,In-store,Not Returned,UPS,Paris,Medium
102127,SKU_1635,Office Chair,46,19-04-2024 17:00,44.45,95086,Sweden,0.23,paypall,9.02,Electronics,In-store,Not Returned,Royal Mail,Berlin,High
102159,SKU_1521,Wall Clock,15,17-11-2020 22:00,41.08,30140,Belgium,0.01,Credit Card,29.33,Apparel,In-store,Not Returned,FedEx,London,Low
102175,SKU_1474,Wall Clock,-11,08-03-2022 02:00,58.39,,Norway,0.25,Credit Card,,Stationery,In-store,Not Returned,Royal Mail,,Medium
102187,SKU_1289,T-shirt,31,16-08-2020 06:00,46.15,73828,Sweden,0.44,Credit Card,21.12,Apparel,In-store,Not Returned,Royal Mail,Berlin,Low
102221,SKU_1867,Desk Lamp,5,02-08-2024 18:00,92.06,77443,France,0,Credit Card,12.47,Electronics,Online,Not Returned,UPS,Amsterdam,Low
102257,SKU_1814,Wall Clock,38,09-07-2020 01:00,91.67,61629,Sweden,0.13,Bank Transfer,17.96,Furniture,In-store,Not Returned,UPS,Berlin,Medium
102292,SKU_1654,White Mug,17,26-04-2024 17:00,31.52,24149,Australia,0.05,Credit Card,24.65,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,High
102352,SKU_1587,Wireless Mouse,7,23-06-2020 12:00,7.15,28921,Spain,0.05,Credit Card,27.04,Electronics,In-store,Not Returned,Royal Mail,London,High
102355,SKU_1799,Office Chair,16,09-01-2023 23:00,92.5,98500,Australia,0.28,paypall,16.43,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,High
102387,SKU_1400,T-shirt,42,16-07-2024 08:00,57.92,58619,Norway,0.01,Credit Card,7.13,Furniture,Online,Not Returned,UPS,Amsterdam,Medium
102405,SKU_1099,Notebook,9,02-06-2024 12:00,81.17,64816,Germany,0.24,paypall,5.76,Electronics,In-store,Not Returned,UPS,Rome,Medium
102419,SKU_1668,USB Cable,31,31-08-2021 03:00,10.6,57382,Spain,0.2,Bank Transfer,18.22,Stationery,Online,Not Returned,DHL,Rome,High
102431,SKU_1738,USB Cable,8,22-05-2021 04:00,84.86,23415,Italy,0.35,Credit Card,14.78,Accessories,Online,Not Returned,UPS,Paris,Medium
102438,SKU_1820,Notebook,1,02-10-2022 19:00,12.44,16555,Norway,0.47,Bank Transfer,29.86,Apparel,In-store,Not Returned,FedEx,Amsterdam,Low
102469,SKU_1558,T-shirt,33,27-04-2025 01:00,73.06,41226,Sweden,0.47,Credit Card,22.09,Accessories,In-store,Not Returned,FedEx,Paris,High
102479,SKU_1886,T-shirt,37,27-10-2023 11:00,58.34,27159,Norway,0.11,paypall,28.3,Stationery,In-store,Not Returned,FedEx,London,High
102496,SKU_1072,Desk Lamp,43,12-05-2025 03:00,3.33,11842,Netherlands,0.04,Bank Transfer,23.32,Electronics,Online,Not Returned,Royal Mail,Amsterdam,Medium
102521,SKU_1725,T-shirt,34,08-07-2024 05:00,99.01,28955,France,0.3,Bank Transfer,18.98,Furniture,In-store,Not Returned,DHL,Rome,High
102526,SKU_1449,T-shirt,46,24-10-2021 09:00,43.38,19776,Netherlands,0.08,Bank Transfer,14.49,Electronics,Online,Not Returned,DHL,London,High
102589,SKU_1337,Headphones,24,10-05-2022 21:00,13.42,25235,United Kingdom,0.04,paypall,10.59,Electronics,Online,Returned,Royal Mail,Rome,Medium
102590,SKU_1849,Blue Pen,45,20-03-2023 00:00,94.54,49748,Netherlands,0.41,Credit Card,20.73,Electronics,In-store,Not Returned,UPS,Berlin,Medium
102594,SKU_1892,Wireless Mouse,44,11-05-2023 07:00,27.23,36777,Australia,0,paypall,18.97,Furniture,Online,Not Returned,Royal Mail,London,Medium
102598,SKU_1811,Headphones,-41,02-04-2023 10:00,33.4,,Spain,0.07,Credit Card,,Stationery,Online,Not Returned,FedEx,,Low
102607,SKU_1754,Notebook,-45,08-11-2024 16:00,56.44,,Germany,0.23,paypall,,Apparel,In-store,Not Returned,FedEx,,High
102631,SKU_1030,Wall Clock,32,31-12-2021 19:00,84.32,16132,Portugal,0.04,Credit Card,29.92,Stationery,In-store,Not Returned,FedEx,Rome,Low
102634,SKU_1596,T-shirt,-29,13-10-2023 20:00,-30.96,,United Kingdom,1.757673512,paypall,,Electronics,In-store,Not Returned,FedEx,,Low
102639,SKU_1764,Desk Lamp,45,18-05-2024 16:00,67.37,12636,Germany,0.08,Bank Transfer,27.83,Accessories,Online,Returned,Royal Mail,Berlin,High
102696,SKU_1051,Wireless Mouse,4,24-07-2025 20:00,70.84,14978,Italy,0.36,Credit Card,23.18,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium
102700,SKU_1308,Backpack,34,30-09-2023 17:00,57.13,29628,Netherlands,0.1,Bank Transfer,5.9,Apparel,In-store,Not Returned,FedEx,London,Medium
102763,SKU_1392,T-shirt,28,23-08-2020 20:00,32.93,19357,Portugal,0.09,Credit Card,19.16,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,High
102765,SKU_1106,Notebook,11,18-03-2021 03:00,45.85,67813,Norway,0.11,Credit Card,22.44,Furniture,In-store,Not Returned,DHL,Rome,Low
102775,SKU_1345,Desk Lamp,22,08-09-2020 18:00,47.32,73240,Portugal,0.32,paypall,11.59,Furniture,In-store,Not Returned,UPS,Rome,Low
102781,SKU_1909,Backpack,8,21-01-2023 13:00,75.32,48740,Spain,0.48,Credit Card,21.15,Stationery,Online,Returned,DHL,Rome,High
102795,SKU_1661,White Mug,33,24-11-2020 09:00,61.78,,Norway,0.42,Credit Card,17.03,Furniture,In-store,Not Returned,UPS,Paris,Medium
102853,SKU_1422,Office Chair,39,17-02-2023 20:00,35.04,35263,United Kingdom,0.13,Credit Card,22.12,Accessories,In-store,Not Returned,DHL,Paris,High
102866,SKU_1384,Desk Lamp,11,28-09-2020 11:00,45.1,,Italy,0.39,Credit Card,21.78,Electronics,In-store,Not Returned,FedEx,,Medium
102869,SKU_1354,Backpack,32,16-01-2020 01:00,65.78,37314,Belgium,0.04,Bank Transfer,28.56,Electronics,In-store,Not Returned,UPS,Amsterdam,Medium
102883,SKU_1740,White Mug,8,17-01-2025 09:00,89.83,47573,United Kingdom,0.1,paypall,20.11,Apparel,Online,Not Returned,UPS,London,Medium
102921,SKU_1820,Office Chair,20,16-10-2021 19:00,59.02,59396,Australia,0.07,Bank Transfer,13.13,Electronics,In-store,Not Returned,DHL,Rome,Low
102928,SKU_1973,T-shirt,1,19-03-2022 04:00,32.74,30661,Sweden,0.03,paypall,19.41,Accessories,Online,Not Returned,DHL,Paris,Low
102948,SKU_1229,Backpack,23,06-04-2024 01:00,36.96,10783,France,0.07,Bank Transfer,21.15,Furniture,Online,Not Returned,Royal Mail,Amsterdam,Medium
102948,SKU_1051,White Mug,9,27-10-2024 01:00,13.95,24459,Norway,0.37,paypall,10.26,Furniture,In-store,Not Returned,Royal Mail,Berlin,Low
102953,SKU_1504,Notebook,-6,16-05-2022 14:00,39.37,,Sweden,0.32,paypall,,Apparel,Online,Returned,UPS,,Low
102978,SKU_1810,Wireless Mouse,21,24-08-2024 00:00,9.93,,Germany,0.29,paypall,12.24,Accessories,In-store,Not Returned,UPS,,Low
102988,SKU_1385,Wall Clock,16,19-10-2022 22:00,79.22,89826,Belgium,0.22,paypall,12.32,Stationery,In-store,Not Returned,UPS,London,Medium
102998,SKU_1461,Headphones,40,22-02-2023 19:00,97.5,52859,Portugal,0.03,Credit Card,7.6,Accessories,Online,Not Returned,FedEx,London,High
103005,SKU_1748,USB Cable,23,08-05-2023 15:00,35.47,13964,Netherlands,0.48,Bank Transfer,15.24,Stationery,Online,Not Returned,Royal Mail,Berlin,Low
103051,SKU_1328,Notebook,10,22-01-2020 03:00,4.39,30573,Italy,0.23,Credit Card,28.81,Accessories,In-store,Not Returned,UPS,Amsterdam,High
103052,SKU_1694,Blue Pen,30,18-01-2022 23:00,83.37,58027,Portugal,0.47,paypall,11.54,Electronics,In-store,Not Returned,Royal Mail,Paris,Low
103060,SKU_1725,Backpack,35,23-09-2021 18:00,49.02,50999,Australia,0.16,Credit Card,10.11,Stationery,In-store,Not Returned,DHL,Rome,High
103089,SKU_1981,USB Cable,2,24-12-2020 09:00,72.92,47303,Germany,0.4,Bank Transfer,18.8,Accessories,In-store,Not Returned,Royal Mail,Berlin,Medium
103098,SKU_1071,Blue Pen,2,19-11-2021 14:00,10.27,38359,Spain,0,Credit Card,27.12,Furniture,Online,Returned,UPS,Amsterdam,High
103111,SKU_1677,Wall Clock,12,06-08-2024 19:00,14.9,41316,Norway,0.41,paypall,24.5,Stationery,Online,Not Returned,UPS,London,Low
103114,SKU_1010,Desk Lamp,24,14-12-2020 14:00,98.35,59318,France,0.47,Credit Card,5.49,Furniture,Online,Not Returned,FedEx,Rome,Low
103159,SKU_1731,White Mug,2,22-12-2022 06:00,21.63,47024,Spain,0.42,paypall,18.79,Furniture,In-store,Not Returned,DHL,Berlin,High
103174,SKU_1281,T-shirt,36,14-12-2020 22:00,26.02,22990,Norway,0.08,Bank Transfer,27.14,Stationery,Online,Not Returned,UPS,Rome,Medium
103191,SKU_1259,Blue Pen,23,05-05-2020 20:00,44.93,80522,France,0.21,paypall,14.12,Furniture,Online,Returned,DHL,Amsterdam,Low
103196,SKU_1541,Office Chair,42,26-04-2021 16:00,37.69,46057,Spain,0.01,Credit Card,5.95,Apparel,In-store,Not Returned,UPS,London,High
103212,SKU_1970,Backpack,3,03-12-2021 03:00,2.16,87642,Spain,0.27,Credit Card,9.18,Apparel,In-store,Not Returned,Royal Mail,Paris,High
